Experience,Education,Location,Job_Title,Skills,Salary
5,PhD,Pune,Data Scientist,HTML|Flask,964875
1,Master,Hyderabad,Data Scientist,HTML|JavaScript,637174
4,Bachelor,Bangalore,Frontend Developer,Java|Django|Node.js,678870
10,Master,Delhi,ML Engineer,CSS,1177678
11,PhD,Chennai,DevOps Engineer,HTML|Node.js|C++|SQL,1324872
9,Master,Chennai,Software Engineer,Python|React,1017433
9,Bachelor,Delhi,ML Engineer,HTML|Python|CSS|Django,1108992
7,Bachelor,Hyderabad,Data Scientist,Node.js|React|Django|CSS|Python,987439
15,PhD,Pune,Data Scientist,C++|React,1544794
13,Bachelor,Hyderabad,Software Engineer,SQL|Flask,1165546
14,Master,Mumbai,Frontend Developer,C++|Python,1341849
0,Bachelor,Pune,ML Engineer,C++,494701
11,Master,Pune,Backend Developer,Java|JavaScript|CSS,1211605
12,PhD,Delhi,ML Engineer,Node.js|Flask|React|C++,1442299
2,Master,Mumbai,DevOps Engineer,Node.js|SQL|Java|Flask,716320
14,PhD,Delhi,ML Engineer,Node.js|HTML,1492227
1,Master,Mumbai,Software Engineer,Flask|CSS|C++|SQL,587511
8,Bachelor,Delhi,Data Scientist,Flask,939493
1,Master,Delhi,ML Engineer,Django,643193
1,PhD,Hyderabad,Web Developer,Node.js|HTML|React,654293
4,Bachelor,Delhi,ML Engineer,Java,748338
1,PhD,Bangalore,Data Scientist,SQL|Node.js,720525
8,Master,Mumbai,Backend Developer,Django,963552
1,Master,Bangalore,ML Engineer,Java,644984
0,Master,Pune,Web Developer,HTML|C++|React|SQL,530842
10,Bachelor,Chennai,Web Developer,Django|JavaScript|Flask,1062434
1,PhD,Bangalore,Software Engineer,CSS|Python|C++|React,679086
5,PhD,Chennai,DevOps Engineer,Flask|Java,944371
13,Master,Chennai,Software Engineer,CSS|Flask|Node.js|HTML,1298157
2,Bachelor,Bangalore,DevOps Engineer,Node.js|React|C++|Flask|HTML,692061
13,PhD,Delhi,Web Developer,Node.js|C++,1367908
7,PhD,Hyderabad,Web Developer,C++|JavaScript,995030
8,Bachelor,Delhi,DevOps Engineer,Java|SQL|Django|Node.js,1006706
3,Bachelor,Bangalore,Frontend Developer,C++|React,619409
15,Master,Mumbai,Backend Developer,Python|C++|JavaScript|SQL,1449481
9,PhD,Delhi,Frontend Developer,C++|Node.js,1096504
1,PhD,Delhi,Software Engineer,Python|Flask,594250
10,Master,Mumbai,Web Developer,JavaScript|CSS,1099848
10,Bachelor,Delhi,Backend Developer,JavaScript|Django,1033157
12,Bachelor,Delhi,Data Scientist,SQL|Node.js|JavaScript,1241119
12,Bachelor,Pune,Backend Developer,Node.js,1140536
10,Bachelor,Bangalore,Data Scientist,HTML|CSS,1087638
2,PhD,Hyderabad,Software Engineer,Python,629230
0,PhD,Pune,Web Developer,React,564621
15,Master,Delhi,Data Scientist,Flask|C++|React|HTML,1543585
11,Bachelor,Pune,DevOps Engineer,HTML|Java|JavaScript,1155735
8,PhD,Mumbai,DevOps Engineer,C++|Flask|CSS|Node.js|Python,1180292
9,Bachelor,Delhi,Software Engineer,Java|HTML|Node.js|CSS,978695
11,Bachelor,Hyderabad,Software Engineer,Flask,1038843
3,Master,Pune,ML Engineer,Flask|React|C++|Django|Node.js,842999
6,Bachelor,Chennai,ML Engineer,Java,864059
7,PhD,Bangalore,DevOps Engineer,C++|Java,1035106
0,Bachelor,Chennai,Frontend Developer,HTML,394288
3,Master,Pune,Web Developer,SQL,649609
15,Bachelor,Chennai,Data Scientist,Flask|Node.js|Python,1422422
4,Master,Bangalore,Data Scientist,HTML|Python|Node.js|SQL,885977
